,Name,Review_score,Review_number,Rank,Sales,,,,,,,
16,Sixome Boob Tape Strapless Push up Bra Self Adhesive Sticky Bra Strong Bob Lift Tape Stick on Bra with Petal Nipple Covers and Rabbit Ear Beige,3.8 out of 5 stars,291,#17,,,,,,,,
17,Boolavard Strapless Stick ON Bra Chicken Fillet Cup A B C D,3.7 out of 5 stars,297,#18,,,,,,,,
18,"2 Pairs Invisible Lift-Up Bra, Adhesive Bra Anti-Penetration Point Adhesive Bra, Breast Lift Tape Push Up Strapless Nipple Covers",2.6 out of 5 stars,14,#19,,,,,,,,
19,DODOING Invisible Bra Adhesive Strapless Bra Push Up Backless Sticky Bra Lift Nippleless Covers Rabbit Bra Breast Pasties,3.0 out of 5 stars,226,#20,,,,,,,,
20,"Epieus Breathable Stick on Bra Push Up,Invisible Backless Bra with Skin-Friendly Adhesive for Party,Beach,Gym",3.4 out of 5 stars,160,#21,,,,,,,,
21,"TUCKMETAPE Extra Wide Boob Tape, Strong hold Invisible Bra, Long Roll Bob Tape with 2pcs Reusable Nipple Covers, Adhesive Bra Breast Lift Tape For Small & Large Breasts A-H Cup, (Beige)",5.0 out of 5 stars,3,#22,,,,,,,,
22,"HETOO Push Up Sticky Bras for Women, Backless Invisible Bra Adhesive Bra Breast Lift Tape Reusable Nipple Covers",3.4 out of 5 stars,18,#23,,,,,,,,
23,Perfection Extra Boost Winged Bra - Backless Strapless Invisible Adhesive Wings A to E Cup,3.2 out of 5 stars,128,#24,,,,,,,,
24,Tongyend Stick On Bra Backless Invisible Bra Adhesive Bra Breast Lift Tape Reusable Sticky Bra Nipple Covers Comfortable Cup Bra Covers Backless Bras for Women,1.0 out of 5 stars,1,#25,,,,,,,,
25,"HETOO 2 Pack Rabbit Push Up Invisible Bra, Stick on Bra Backless Strapless Sticky Adhesive Bra for Women (Small-2Pack)",2.6 out of 5 stars,3,#26,,,,Everyday,"Bandeau(5/50)銆丅ralette(7/50)銆丳lunge(4/50),Racerback(1/50),seamless(6/50),padded(18/50)",,,
26,ohyeahlady Stick On Adhesive Backless Bra Strapless Push Up Bra with Drawstring Reusable Invisible Silicone Bras,3.6 out of 5 stars,31,#27,,,,Addhesive,"Push-up,stick on,strapless",,,
27,Women Breast Petals Lift Nipple Covers Adhesive Strapless Backless Bra Sticky Bra Stick on Bra,2.8 out of 5 stars,82,#28,,,,Maternity,Marternity,,,
28,Chumian Strapless Bra Adhesive Push up Invisible Backless Bras for Women Stick on Bra for Evening Dress,4.2 out of 5 stars,6,#29,,,,Minimizers,Minimizers,,,
29,HOTSO Sticky Bra Silicone Push up Bras Stick on Adhesive Nipple Covers Backless Strapless Invisible Bra Freedom Support Reusable Comfortable Pull-up for Women,3.1 out of 5 stars,45,#30,,,,Sports,Sports,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,Score = 0.3Review_number + 0.7*Average_Rankingscore,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,, Percentage of top 30 male underwear types,,,,Sales of 7 types of underwear in the past three months
,,,,,,,,Types,Number,Percenatge,,
,,,,,,,,Briefs,19,63%,,
,,,,,,,,Bikini,3,10%,,
,,,,,,,,Thongs,2,7%,,
,,,,,,,,G-String,1,3%,,
,,,,,,,,Tangas,1,3%,,
,,,,,,,,Hipster,3,10%,,
,,,,,,,,Short,3,10%,,
